"Actinobacteria","Acidobacteriae","Anaerolineae","Gemmatimonadetes","Alphaproteobacteria","Vicinamibacteria","Nitrospiria","Gammaproteobacteria","Polyangia","Bacteroidia","Bacilli","Clostridia","Acidimicrobiia","Verrucomicrobiae","Thermoleophilia","Chloroflexia","Myxococcia","TK10","KD4.96","Saccharimonadia","Bdellovibrionia","Planctomycetes","Ktedonobacteria","Blastocatellia","Oligoflexia","Holophagae","JG30.KF.CM66","OLB14","Parcubacteria","Methylomirabilia","Microgenomatia","Cyanobacteriia","MB.A2.108","Babeliae","Thermoanaerobaculia","Chlamydiae","Dehalococcoidia","Gitt.GS.136","Phycisphaerae","Vampirivibrionia","Elusimicrobia","Fibrobacteria","Kapabacteria","SHA.26","P2.11E","Sericytochromatia","Chthonomonadetes","bacteriap25","Dojkabacteria","AD3","Longimicrobia","Lineage.IIa","S0134.terrestrial.group","Subgroup.25","Subgroup.5","Fimbriimonadia","Gracilibacteria","Ignavibacteria","Lineage.IIb","OM190","Negativicutes","Subgroup.22","WWE3","BD2.11.terrestrial.group","Deinococci","Latescibacteria","Desulfuromonadia","BD7.11","Desulfitobacteriia","Subgroup.11","Kryptonia","Sumerlaeia","Pla4.lineage","Berkelbacteria","ABY1","Armatimonadia","Spirochaetia","AKAU4049","Omnitrophia","Limnochordia","Abditibacteria","Syntrophobacteria","Nanoarchaeia","Rhodothermia","Symbiobacteriia","Entotheonellia","Desulfobulbia","Thermodesulfovibrionia","Desulfobaccia","Kazania","Hydrogenedentia","Desulfobacteria","Coriobacteriia","Subgroup.18","vadinHA49","Thermoplasmata","Aminicenantia","AT.s3.28","Syntrophia","response"
2568,1240,430,1056,3487,852,220,1251,150,1133,2090,105,695,1297,1295,846,133,201,864,228,31,157,349,463,8,215,39,31,39,244,43,28,274,11,40,17,53,386,27,14,11,4,0,63,33,26,6,62,0,66,0,0,6,86,0,2,0,4,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
3383,2736,395,1574,4340,737,168,2169,429,1311,1193,378,500,2296,2010,1035,275,205,811,597,60,325,1016,320,77,172,105,83,175,51,32,834,124,13,184,4,38,112,16,16,5,18,30,10,72,25,61,25,10,164,29,17,29,4,0,0,5,5,8,0,12,0,0,0,11,0,0,0,5,0,0,0,0,11,5,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4851,1539,420,824,5348,565,101,2204,417,2387,484,348,574,2043,1302,1071,110,175,707,1726,53,204,894,267,55,210,65,25,30,37,99,477,52,4,10,0,20,155,13,19,4,0,18,7,60,13,25,18,35,161,380,17,0,0,0,14,0,0,0,0,0,0,39,3,36,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2655,1186,146,736,2912,315,51,1211,299,878,721,270,374,1800,866,901,174,134,303,335,34,201,739,239,87,152,49,0,89,11,20,2101,23,13,174,0,0,23,0,27,0,20,6,0,5,15,27,9,9,36,48,14,8,0,0,3,0,0,24,0,5,0,4,0,13,0,0,0,6,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,747,549,687,3213,1116,283,1504,291,590,2189,316,621,1577,1156,592,200,154,836,137,50,54,89,558,29,148,37,10,300,256,38,165,185,17,49,7,45,212,23,15,14,0,6,40,35,5,3,71,30,36,12,14,0,47,44,0,14,0,4,24,5,33,0,0,3,8,0,6,8,14,0,0,7,4,0,0,0,3,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2517,469,636,624,3239,1286,306,1683,426,1015,2288,318,882,990,1011,726,130,79,759,145,79,194,116,527,56,150,4,30,146,251,24,256,167,2,74,7,61,437,50,12,17,7,4,52,12,17,2,44,0,10,0,0,12,33,38,0,5,10,0,24,3,19,6,0,0,13,21,6,9,16,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
2281,2529,182,1062,3596,520,73,2218,509,1656,1886,288,386,1203,1347,384,135,141,480,299,49,436,905,126,29,58,85,80,117,5,27,294,34,4,317,7,15,0,10,12,11,7,11,0,0,0,22,0,22,150,0,27,3,0,0,10,0,0,10,0,0,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,688,331,297,2088,494,149,843,266,677,440,140,607,898,607,450,89,83,670,115,42,96,181,345,17,120,41,0,46,119,0,548,125,2,52,9,33,116,9,15,0,0,0,38,15,16,12,31,0,30,0,0,0,24,0,0,0,0,0,10,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
2969,1657,679,552,3727,1328,330,2038,654,1464,850,173,1306,2199,1451,771,190,283,1108,177,111,169,551,726,86,242,86,12,116,125,49,500,227,19,102,49,81,237,43,11,12,42,13,46,29,13,52,93,20,115,0,13,3,33,0,5,9,3,0,27,0,18,3,7,3,14,0,15,11,16,4,2,10,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,0,0,0,0
2579,739,460,371,2771,1266,200,1571,416,1280,609,170,915,1434,962,501,233,139,1066,132,66,92,196,461,65,182,43,2,47,129,11,594,231,13,78,2,25,127,58,13,14,30,21,33,29,2,13,53,3,85,0,29,0,26,26,0,2,0,0,25,0,10,0,0,0,6,0,14,3,11,0,0,0,4,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0
6172,1899,184,1386,6557,552,198,3345,578,1962,3227,79,355,1068,1484,1061,869,173,602,494,129,137,1237,524,48,112,134,80,19,28,24,102,28,23,35,21,15,295,9,17,12,20,3,24,15,41,28,19,0,33,50,7,10,0,17,13,2,0,2,3,0,0,0,5,18,0,0,9,0,0,3,10,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5212,2414,341,1147,5291,627,165,2487,548,1793,3385,67,383,778,1258,1087,445,219,631,424,39,152,1365,413,39,122,141,101,67,51,27,163,23,48,69,12,14,281,10,15,6,51,18,40,13,38,19,24,2,69,40,3,16,0,10,12,0,0,3,0,0,0,14,0,19,0,0,20,0,0,0,8,0,0,0,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,1868,55,678,2621,280,97,882,255,618,1968,71,192,581,1063,252,259,101,200,148,15,29,753,88,13,59,38,74,13,26,23,58,8,8,0,0,0,22,0,8,12,17,0,0,0,11,35,0,0,24,0,0,0,0,10,6,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4423,1439,206,1029,4627,1097,167,1624,433,689,1329,196,1307,215,2974,349,265,352,1588,214,122,39,344,440,109,181,195,14,24,122,0,33,421,0,24,0,71,389,14,21,43,3,9,27,16,6,35,19,0,81,22,9,51,56,72,0,0,0,13,0,34,20,0,0,17,0,79,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7054,1094,243,994,6218,1651,132,2189,405,1444,2664,243,1074,370,4077,248,222,164,1913,283,132,40,330,387,122,229,129,18,17,242,0,34,443,42,46,17,64,364,0,2,19,0,0,25,6,5,0,69,0,65,4,8,0,17,46,29,0,3,10,11,11,15,0,0,11,0,0,0,26,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,33,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0
3791,1903,349,1382,5049,1642,269,2213,285,1426,3464,173,1052,944,2703,676,243,273,1306,337,60,55,573,828,56,363,141,47,27,187,44,15,539,12,40,17,65,651,8,28,6,16,3,36,47,33,24,64,3,72,16,25,13,52,38,7,0,8,20,7,11,13,0,2,0,0,2,10,16,0,2,7,3,0,0,0,0,0,0,9,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,3750,184,1242,4367,344,173,2108,722,1382,1121,267,388,1518,1289,517,195,161,623,375,60,217,1741,89,71,101,153,108,524,42,37,267,42,18,0,19,48,36,10,54,59,135,41,5,4,8,39,12,0,243,0,44,0,0,0,13,13,0,12,0,3,0,0,8,12,0,0,20,4,0,16,0,0,2,2,13,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
3688,3931,23,1394,5397,253,104,2682,768,2844,1735,206,401,1129,1512,708,273,262,319,346,92,381,3165,100,158,29,255,169,255,0,39,694,9,14,8,17,15,0,0,68,19,147,57,5,0,162,82,0,0,498,55,43,0,0,0,0,6,0,3,0,3,0,0,2,25,0,0,19,0,0,5,0,0,0,2,20,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0
4025,4109,2,1315,4712,184,470,4330,775,2074,1426,251,689,538,1784,1250,73,162,562,1816,66,680,3854,0,29,0,343,240,337,0,81,85,0,29,0,16,0,0,0,16,14,7,21,0,0,28,57,0,26,247,0,17,0,0,0,0,0,0,0,0,9,0,54,0,0,2,0,0,5,0,0,0,0,18,0,76,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
3119,2716,383,1255,4518,462,146,2680,899,2075,1116,343,521,2264,1541,733,260,224,902,520,45,370,1099,174,41,156,141,94,353,10,62,728,33,13,71,63,33,0,75,49,66,48,36,13,0,16,45,0,103,79,0,32,18,0,0,18,5,0,37,6,8,0,0,4,0,0,18,33,6,0,5,0,0,2,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0
754,856,47,340,1129,216,89,237,209,235,731,107,64,162,299,117,87,37,87,46,23,127,267,79,9,5,20,17,11,7,25,293,0,0,0,10,0,26,0,5,8,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1082,1133,72,348,1114,250,87,360,238,215,694,52,122,251,411,119,85,50,88,34,18,12,260,119,23,31,23,32,10,10,8,204,4,8,4,38,0,0,0,0,2,11,12,12,0,0,28,20,4,19,0,0,0,0,0,3,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,1876,119,718,2085,172,102,908,475,673,714,118,224,504,603,216,85,115,188,131,15,95,675,81,8,56,59,43,126,15,6,97,8,12,8,40,2,8,5,14,2,27,5,12,0,0,48,0,5,47,0,24,0,0,0,4,0,0,15,0,6,0,4,0,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151,764,369,789,2315,966,162,1470,497,699,853,341,436,854,695,573,154,98,714,43,43,60,259,529,76,66,46,35,31,57,11,308,88,3,45,6,23,112,26,9,13,15,2,39,2,11,14,59,13,2,9,10,16,14,0,0,2,0,7,7,9,3,0,0,4,0,0,3,4,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2326,2042,331,1016,3238,630,258,1510,443,622,1203,212,354,697,911,547,129,137,614,87,41,184,834,515,58,87,63,38,111,59,40,99,41,9,31,24,25,108,15,12,39,43,10,30,20,16,35,40,0,24,0,9,3,5,10,2,10,2,19,10,3,7,22,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0
